3	3	12770|9154|4703|4930|3175|8185|12770|13903|302|12571|11928|8114|9906|15001|10326|8628|16822|12571|17789|3175|1496|13776|7253|6921|2165|11214|9141|6915|16297|9338|3315|15383|8828|90|7060|15945
4	4	12770|4949|5813|10277|3734|8114|12770|15749|3734|12770|16887|15001|3507|4703|17300|11423|8628|13776|661|3734|12151|14270|9246|12386|12281|12935|19461|3030|12571|6810|18995|3734|8997|6940|12571|6114|15945
3	3	13321|5950|5987|12339|13776|6663|3734|4997|10331|13776|2437|12119|4720|16297|13776|2437|11931|14353|11836|3175|12770|964|10331|14558|12770|835|9367|11841|5079|12770|8857|16297|13493|16297|5821|3734|12770|6554|15945
2	2	3635|274|2935|4343|17553|14512|13576|15083|919|3426|3734|14823|15174|5195|15470|7730|3734|18228|15945
3	3	3559|12770|18411|4703|14386|16240|19232|15945
4	4	16704|8828|9246|3635|5737|997|4343|4565|3734|2984|12571|8841|13938|8114|12770|10138|15001|10326|8114|12770|13219|16297|15001|2984|4703|6062|10169|12420|10326|3901|13011|15945
4	4	6355|12770|15964|7890|9510|6403|12770|16268|5149|3734|12770|5920|9510|19436|2887|3734|13618|10326|15254|4703|9442|15945
3	3	15096|3734|12770|17452|3734|5674|10469|4703|8628|10267|18477|12770|6467|15470|17510|10326|11079|15945
4	4	13776|11873|11931|11114|16703|11214|8114|5687|15001
2	3	8114|15165|13222|15001|8036|9183|15945
4	4	12504|12302|16297|12504|1258|16297|12504|6559|16297|12504|1601|16297|12504|4209|16297|12504|8584|15945
2	2	3635|8535|13699|74|6943|17736|19436|6209|8653|3635|14270|19409|6370|18230|8780|1880|13938|12770|1988|10326|14386|8185|8879|15945
4	4	7009|15053|19436|1496|10267|17873|15945
2	2	13776|14787|16620|14323|10336|16297|4215|11593|3734|16251|18689|15392|2437|10326|12078|14665|19154|12699|13150|17934|12770|4903|3734|12375|17348|1258|15945
0	4	14386|16297|19436|19378|4703|12302|16297|10326|18441|3175|7624|11514|18128|8990|15945
2	3	6852|1811|7171|14863|10326|2587|17011|1041|11284|450|1496|13776|4184|1364|14323|4287|12770|6467|15470|5882|10326|11960|15945
3	3	3635|17326|9712|3734|12770|12504|2716|15470|4746|19441|10331|12592|3734|10317|7341|15470|13776|2447|3734|10091|17736|18123|1023|15945
2	2	14917|16899|12770|16680|5964|3734|8114|18562|14168|10336|15001|4585|9246|8185|11871|13772|11871|8857|15945
4	4	12647|17866|18452|4343|1215|2427|15945
3	3	17162|3635|4873|11263|1259|11213|16297|18600|4343|16378|9500|4663|10267|9712|15945
1	4	3635|2035|13217|4873|10267|15945
3	3	8114|6644|15001|9453|2613|17396|17300|9554|16297|8628|6921|13776|2850|8114|19270|14886|15001
1	2	8817|12770|8231|2106|13938|13776|835|10138|8442|15945
0	4	19305|4703|4184|16297|9009|6062|5153|16297|4146|13277|3175|12693|12571|9710|4151|10326|6999|1601|15945
2	2	12770|6349|11878|9088|9453|6664|17300|2518|8628|10363|10326|3076|18773|17170|17706|19242|6955|3175|11868|9712|12770|2338|8708|12493|15945
2	2	19189|18732|136|30|12372|3734|12770|12557|17300|19254|19436|14018|16297|14558|10267|12571|366|11931|3734|12770|2338|17679|12504|12493|15945
4	4	12770|10037|15392|19184|15945
3	3	8111|15392|9865|15500|10267|8849|12770|8459|3175|12770|8710|15945
4	4	19468|15993|7820|1805|12770|5894|3734|11223|205|12571|16928|13776|13853|16297|8671|15096|3734|12770|17932|16297|18521|14939|12770|1791|17087|18123|15298|3605|15945
3	1	19436|4703|13428|13776|11928|5894|15945
4	4	10267|12571|2613|2387|7139|14558|5454|17300|4195|8828|15470|17300|12433|6636|15945
1	3	19468|8114|4427|12236|3734|12279|16049|15001|7820|4703|6062|2899|16831|17953|11878|8628|2106|15505|13938|6062|9228|3734|16026|12091|5801|9510|8354|1874|16832|12985|12770|7730|10326|1136|3734|12770|4158|6543|15945
3	2	10267|12571|9246|5102|10331|16693|2538|10326|12309|16297|14558|1038|19443|10267|15945
1	3	9865|8114|11179|15001|11015|9510|8878|10267|15500|17567|17736|15470|16693|1451|15945
4	4	15254|16297|18061|16297|16143|15470|11372|10326|8878|16297|10326|5267|13776|12504|1761|15945
3	3	14558|19166|10346|9453|1793|2613|15096|3734|17736|12770|1996|15096|15311|12571|14860|8678|5866|8114|8119|6668|15001|14425|16693|12114|10326|9599|12571|5134|11338|17729
3	3	12433|3734|12770|17932|12571|17452|1634|9510|12770|18193|14388|3734|16679|10326|18508|15945
3	3	12699|5587|7867|15392|17870|7600|15945
3	2	12770|147|8504|6463|2794|1996|13581|16297|18654|16297|4703|12770|12372|15435|4343|5669|15288|12599|149|2159|16297|5785|8020|13776|7445|3734|6902|7139|12770|17932|12571|19327|15945
2	3	17729|6374|15470|4980|19468|136|1038|5511|5269|4773|16297|136|4202|15120|19172|13776|5267|16297|13493|16297|13438|2942|15470|6062|16441|18129|7820|10326|805|10917|19468|12517|12571|17818|9453|2613|14621|15470|12494|16297|13776|7415|16441|4207|5785|1431|11607|10326|1891|16242|7820
3	3	11189|12571|6062|5882|3175|3606|10779|11435|4042|15945
