1	14260|1460|15045|15629|15877|15932|14260|13637|10594|1571|5896|14054|2617|3924|12783|16248|3198|1571|13707|15877|7438|15441|9909|2308|3177|986|8484|5466|7559|8595|747|3068|4458|14747|14252|882
1	14260|12119|11814|8505|8873|14054|14260|12204|8873|14260|13299|3924|1732|15045|6723|6636|16248|15441|4144|8873|15905|17267|13992|9657|9139|1239|11890|13807|1571|11145|13581|8873|6989|13332|1571|16071|882
1	5397|10686|1079|7850|15441|132|8873|15986|6780|15441|2861|4625|3878|7559|15441|2861|5207|7119|2096|15877|14260|8204|6780|8599|14260|17133|5338|14529|255|14260|10636|7559|7836|7559|9265|8873|14260|13938|882
1	9866|14260|17065|15045|5812|9700|4238|882
1	3123|4458|13992|2599|14365|7557|4157|17204|8873|15662|1571|14178|6329|14054|14260|4978|3924|12783|14054|14260|16262|7559|3924|15662|15045|12363|14227|1931|12783|12920|1714|882
1	9454|14260|7765|13974|7753|10119|14260|15392|17366|8873|14260|16454|7753|6153|432|8873|17456|12783|2731|15045|1872|882
1	2320|8873|14260|11043|8873|12239|15407|15045|16248|16271|6391|14260|17156|14361|16500|12783|11715|882
1	15441|11525|5207|6791|5384|986|14054|605|3924
1	14054|595|2387|3924|16498|12209|882
1	6986|6245|7559|6986|7256|7559|6986|677|7559|6986|13085|7559|6986|10757|7559|6986|11743|882
1	13382|9487|6153|7438|16271|5631|882
1	5812|7559|6153|17303|15045|6245|7559|12783|9374|15877|7502|3943|15760|17138|882
1	16173|6337|2774|12899|12783|16137|4861|17472|10056|8731|7438|15441|2351|703|4121|16325|14260|17156|14361|12991|12783|7346|882
1	2599|16531|3643|8873|14260|6986|6035|14361|10036|14041|6780|1812|8873|5249|13747|14361|15441|4997|8873|1988|612|6152|6069|882
1	17372|10727|16602|4157|9660|17444|882
1	2577|2599|15845|12882|6882|11942|7559|6212|4157|17388|12797|16291|16271|3643|882
1	2599|7055|12847|15845|16271|882
1	14054|26|3924|2554|16083|1927|6723|11156|7559|16248|2308|15441|322|14054|8708|15284|3924
1	9108|15045|2351|7559|4910|12363|6799|7559|15157|5034|15877|16933|1571|15058|12889|12783|11843|13085|882
1	14260|12370|92|352|882
1	12501|92|3521|16253|16271|3571|14260|134|15877|14260|9792|882
1	9254|10951|3802|13608|14260|8109|8873|7274|3104|1571|15731|15441|6027|7559|7125|2320|8873|14260|16807|7559|16838|2651|14260|6406|4802|6152|3481|8896|882
0	6153|15045|9649|15441|5896|8109|882
1	16271|1571|16083|7705|16227|8599|4245|6723|5304|4458|14361|6723|227|4264|882
1	9254|14054|8947|9672|8873|6211|13688|3924|3802|15045|12363|1671|17430|523|4054|16248|5718|11950|6329|12363|5723|8873|15184|11893|14339|7753|7913|5924|15333|16559|14260|4814|12783|10200|8873|14260|3049|6704|882
1	3521|14054|10453|3924|52|7753|8788|16271|16253|11412|612|14361|309|15056|882
1	2731|7559|12544|7559|3562|14361|9828|12783|8788|7559|12783|1001|15441|6986|4591|882
1	8599|10630|16541|2554|4030|16083|2320|8873|612|14260|12935|2320|4604|1571|2213|15554|10481|14054|15746|5020|3924|6915|309|3517|12783|5148|1571|2720|8945|9885
1	227|8873|14260|16807|1571|11043|2922|7753|14260|15936|1474|8873|9811|12783|9534|882
1	4413|816|5136|92|10398|10689|882
1	9885|5889|14361|17434|9254|6544|4761|10603|17189|10583|7559|6544|10678|14790|1664|15441|1001|7559|7836|7559|5120|14062|14361|12363|14845|6115|3802|12783|5389|9289|9254|11114|1571|1260|2554|16083|7695|14361|16804|7559|15441|6677|14845|13397|14766|12578|4452|12783|15915|3055|3802
1	5421|1571|12363|12991|15877|15259|2937|10214|15970|882
1	227|8873|16271|1111|5782|14260|15309|7559|7107|3909|4157|309|1972|12370|882
1	14054|6109|11865|3924|11148|1891|12363|8711|5666|12783|6886|8873|15006|1898|7753|14260|14498|8545
0	9885|15441|12965|523|16807|4121|309|8629|11301|12363|1538|8873|14260|14806|16248|11422|14260|17193|6871|8873|14260|5981|1571|9885|14260|4054|1571|7853|2554|15441|14054|3521|11728|16271|17388|612|10644|3924
1	5759|15877|16271|7559|8599|9487|14260|5981|1571|7559|14260|134|5421|15045|15441|7263|11316|8873|6245|882
1	14054|3272|7654|3924|1619|13094|14361|14260|2678|14054|612|7645|4054|3452|133|15284|3924
0	6221|4567|12017|12015|6780|1891|14260|6562|6431|14766|4680|5782|14260|6013|12783|3344|3643|7753|14260|11338|882
1	8599|1031|16271|4458|13992|7559|16271|1571|14750|8873|14260|12935|15977|7559|12509|11148|4761|16385|5017|882
1	126|2686|12783|3390|92|12363|12992|5572|8563|7559|12783|2308|14092|4413|8204|15045|1528|7559|2599|7055|6347|13506|15877|8896|3643|882
1	9885|15441|521|7289|16248|12089|309|4233|8873|12004|6780|8336|15441|13820|7559|8336|15441|16326|12783|7559|15877|6211|7263|5846|7559|14260|1150|1984|4305|882
1	9254|10462|3802|5063|11950|2348|16715|651|15441|10339|5151|3426|7300|17267|15932|13411|3198|15045|13992|5207|4860|14048|7753|14260|61|17100|8873|17289|315|6153|6544|9254|12680|3802|12783|17289|315|16248|7559|6544|14024|9254|4458|7205|3802|612|10311|6153|13906|882
1	14260|14253|8612|8873|5189|2125|12783|309|10203|7219|12783|5307|8873|6129|4591|12783|3105|15587|7438|16271|15441|7263|13938|15877|1850|14361|7375|12783|4058|15877|12532|5613|1891|15731|882
1	14054|26|3924|511|3643|9487|15441|13242|3854|17308|8204|7559|8599|16271|9892|3643|15877|15932|12273|4628|9254|12783|5096|3802|986|12935|16577|14361|6153|13758|882
